,Код ЕСР,Краткое наименование,Полное наименование,Регион,ЖД,coords,lat,lon
1349,22840,МИХАЙЛОВ,МИХАЙЛОВ,Рязанская область,Московская,"('54.220687', '39.01726')",54.220687,39.01726
1350,22860,ВИЛЕНКИ,ВИЛЕНКИ,Рязанская область,Московская,"('54.29458', '38.899472')",54.29458,38.899472
1351,22880,СЕРЕБР ПРУДЫ,СЕРЕБРЯНЫЕ ПРУДЫ,Московская область,Московская,"('54.460086', '38.721076')",54.460086,38.721076
1352,22890,УЗУНОВО,УЗУНОВО,Московская область,Московская,"('54.546308', '38.619435')",54.546308,38.619435
1353,22910,МАКЕЕВО-МОСК,МАКЕЕВО-МОСКОВСКОЕ,Рязанская область,Московская,"('54.663859', '39.140988')",54.663859,39.140988
1354,22950,БОГАТИЩЕВО,БОГАТИЩЕВО,Московская область,Московская,"('54.678952', '38.530036')",54.678952,38.530036
1355,22960,ПУРЛОВО,ПУРЛОВО,Московская область,Московская,"('54.732142', '38.384378')",54.732142,38.384378
1356,22970,ОЖЕРЕЛЬЕ,ОЖЕРЕЛЬЕ,Московская область,Московская,"('54.802243', '38.273757')",54.802243,38.273757
1357,23000,ОРЕХОВО-ЗУЕВО,ОРЕХОВО-ЗУЕВО,Московская область,Московская,"('55.79597', '38.976825')",55.79597,38.976825
1358,23010,РЕУТОВО,РЕУТОВО,Московская область,Московская,"('55.75246', '37.859809')",55.75246,37.859809
1359,23020,СТРОЙКА,СТРОЙКА,Московская область,Московская,"('55.779559', '37.863264')",55.779559,37.863264
1360,23030,БАЛАШИХА,БАЛАШИХА,Московская область,Московская,"('55.810116', '37.949482')",55.810116,37.949482
1361,23040,ЖЕЛЕЗНОДОР,ЖЕЛЕЗНОДОРОЖНАЯ,Московская область,Московская,"('55.752462', '38.008176')",55.752462,38.008176
1362,23050,КУПАВНА,КУПАВНА,Московская область,Московская,"('55.752875', '38.122569')",55.752875,38.122569
1363,23060,ЭЛЕКТРОУГЛИ,ЭЛЕКТРОУГЛИ,Московская область,Московская,"('55.730198', '38.202422')",55.730198,38.202422
1364,23070,ХРАПУНОВО,ХРАПУНОВО,Московская область,Московская,"('55.720921', '38.348573')",55.720921,38.348573
1365,23080,ФРЯЗЕВО,ФРЯЗЕВО,Московская область,Московская,"('55.732456', '38.467481')",55.732456,38.467481
1366,23090,ЭЛЕКТРОСТАЛЬ,ЭЛЕКТРОСТАЛЬ,Московская область,Московская,"('55.786338', '38.460949')",55.786338,38.460949
1367,23100,НОГИНСК,НОГИНСК,Московская область,Московская,"('55.850736', '38.443275')",55.850736,38.443275
1368,23110,ПАВЛОВСКИЙ ПОСАД,ПАВЛОВСКИЙ ПОСАД,Московская область,Московская,"('55.77582', '38.673619')",55.77582,38.673619
1369,23120,ЭЛЕКТРОГОРСК,ЭЛЕКТРОГОРСК,Московская область,Московская,,,
1370,23140,УСАД,УСАД,Владимирская область,Московская,"('55.868793', '39.103388')",55.868793,39.103388
1371,23150,ПОКРОВ,ПОКРОВ,Владимирская область,Московская,"('55.891733', '39.216354')",55.891733,39.216354
1372,23160,ДУЛЕВО,ДУЛЕВО,Московская область,Московская,"('55.703552', '38.963228')",55.703552,38.963228
1373,23170,ДАВЫДОВО,ДАВЫДОВО,Московская область,Московская,"('55.610424', '38.878481')",55.610424,38.878481
1374,23180,КУРОВСКАЯ,КУРОВСКАЯ,Московская область,Московская,"('55.573364', '38.924014')",55.573364,38.924014
1375,23190,АВСЮНИНО,АВСЮНИНО,Московская область,Московская,"('55.560054', '39.111303')",55.560054,39.111303
1376,23210,ШАТУРА,ШАТУРА,Московская область,Московская,"('55.573299', '39.522732')",55.573299,39.522732
1377,23230,КРИВАНДИНО,КРИВАНДИНО,Московская область,Московская,"('55.558744', '39.688408')",55.558744,39.688408
1378,23270,РЯЗАНОВКА,РЯЗАНОВКА,Московская область,Московская,"('55.147167', '39.557747')",55.147167,39.557747
1379,23310,ЧЕРУСТИ,ЧЕРУСТИ,Московская область,Московская,"('55.541558', '40.004944')",55.541558,40.004944
1380,23340,ЕГОРЬЕВСК I,ЕГОРЬЕВСК I,Московская область,Московская,"('55.383738', '39.013992')",55.383738,39.013992
1381,23360,ВОСКРЕСЕНСК,ВОСКРЕСЕНСК,Московская область,Московская,"('55.312621', '38.702317')",55.312621,38.702317
1382,23370,ПЕСКИ,ПЕСКИ,Московская область,Московская,"('55.214882', '38.77193')",55.214882,38.77193
1383,23380,ГОЛУТВИН,ГОЛУТВИН,Московская область,Московская,"('55.085874', '38.805943')",55.085874,38.805943
1384,23390,КАРАСЕВО,КАРАСЕВО,Московская область,Московская,"('55.012161', '38.614998')",55.012161,38.614998
1385,23400,ОЗЕРЫ,ОЗЕРЫ,Московская область,Московская,"('54.861456', '38.568356')",54.861456,38.568356
1386,23410,ЩУРОВО,ЩУРОВО,Московская область,Московская,"('55.064717', '38.851612')",55.064717,38.851612
1387,23420,ЛУХОВИЦЫ,ЛУХОВИЦЫ,Московская область,Московская,"('54.982409', '39.042839')",54.982409,39.042839
1388,23430,ЗАРАЙСК,ЗАРАЙСК,Московская область,Московская,"('54.769885', '38.883784')",54.769885,38.883784
1389,23440,ФРУКТОВАЯ,ФРУКТОВАЯ,Московская область,Московская,"('54.915818', '39.258033')",54.915818,39.258033
1390,23450,АЛПАТЬЕВО,АЛПАТЬЕВО,Московская область,Московская,"('54.879745', '39.327244')",54.879745,39.327244
1391,23480,МЫТИЩИ,МЫТИЩИ,Московская область,Московская,"('55.914654', '37.761545')",55.914654,37.761545
1392,23490,ПОДЛИПКИ-ДАЧ,ПОДЛИПКИ-ДАЧНЫЕ,Московская область,Московская,"('55.925473', '37.816967')",55.925473,37.816967
1393,23500,БОЛШЕВО,БОЛШЕВО,Московская область,Московская,"('55.926219', '37.861212')",55.926219,37.861212
1394,23510,ЗЕЛЕНЫЙ БОР,ЗЕЛЕНЫЙ БОР,Московская область,Московская,"('55.963198', '37.874131')",55.963198,37.874131
1395,23520,ИВАНТЕЕВКА,ИВАНТЕЕВКА,Московская область,Московская,"('55.96462', '37.939014')",55.96462,37.939014
1396,23530,ФРЯЗИНО,ФРЯЗИНО,Московская область,Московская,"('55.963049', '38.02895')",55.963049,38.02895
1397,23540,СОКОЛОВСКАЯ,СОКОЛОВСКАЯ,Московская область,Московская,"('55.927414', '37.944924')",55.927414,37.944924
1398,23550,ЩЕЛКОВО,ЩЕЛКОВО,Московская область,Московская,"('55.909511', '38.008645')",55.909511,38.008645
1399,23560,ЧКАЛОВСКАЯ,ЧКАЛОВСКАЯ,Московская область,Московская,"('55.897357', '38.062548')",55.897357,38.062548
1400,23570,МОНИНО,МОНИНО,Московская область,Московская,"('55.842995', '38.198827')",55.842995,38.198827
1401,23590,ПУШКИНО,ПУШКИНО,Московская область,Московская,"('56.011618', '37.839701')",56.011618,37.839701
1402,23600,СОФРИНО,СОФРИНО,Московская область,Московская,"('56.135413', '37.930053')",56.135413,37.930053
1403,23610,КРАСНОАРМЕЙСК,КРАСНОАРМЕЙСК,Московская область,Московская,"('56.109178', '38.137762')",56.109178,38.137762
1404,23620,ХОТЬКОВО,ХОТЬКОВО,Московская область,Московская,"('56.256751', '37.993776')",56.256751,37.993776
1405,23630,СЕРГИЕВ ПОСАД,СЕРГИЕВ ПОСАД,Московская область,Московская,"('56.302179', '38.137165')",56.302179,38.137165
1406,23640,КОСТИНО,КОСТИНО,Московская область,Московская,"('56.292098', '37.782738')",56.292098,37.782738
1407,23650,ЖЕЛТИКОВО,ЖЕЛТИКОВО,Московская область,Московская,"('56.297477', '37.941778')",56.297477,37.941778
1408,23660,НАУГОЛЬНЫЙ,НАУГОЛЬНЫЙ,Московская область,Московская,"('56.359917', '38.178263')",56.359917,38.178263
1409,23670,БУЖАНИНОВО,БУЖАНИНОВО,Московская область,Московская,"('56.391967', '38.307649')",56.391967,38.307649
1410,23680,АРСАКИ,АРСАКИ,Владимирская область,Московская,"('56.384812', '38.456725')",56.384812,38.456725
1411,23700,АЛЕКСАНДРОВ,АЛЕКСАНДРОВ,Владимирская область,Московская,"('56.398523', '38.705784')",56.398523,38.705784
1412,23740,КИРЖАЧ,КИРЖАЧ,Владимирская область,Московская,"('56.151654', '38.845527')",56.151654,38.845527
1413,23760,ПОТОЧИНО,ПОТОЧИНО,Московская область,Московская,"('55.849807', '39.022843')",55.849807,39.022843
1414,23780,МАРК,МАРК,Город Москва столица Российской Федерации город федерального значения,Московская,"('55.905644', '37.537389')",55.905644,37.537389
1415,23790,ЛОБНЯ,ЛОБНЯ,Московская область,Московская,"('56.013165', '37.485014')",56.013165,37.485014
1416,23800,КАТУАР,КАТУАР,Московская область,Московская,"('56.089996', '37.503814')",56.089996,37.503814
1417,23810,ИКША,ИКША,Московская область,Московская,"('56.171871', '37.509349')",56.171871,37.509349
